Agency,Mode/Type of Service Status,UZA Name,Mode,TOS,Year,UPT,VRM,Organization Type,city,state,UZA SQ Miles,UZA Population,Service Area Population,Service Area SQ Miles,Avg Trip Length FY,Fares FY,Operating Expenses FY,Avg Cost Per Trip FY,Avg Fares Per Trip FY,rank,score,tci,jobs,trips/week,routes,transit shed (mi2),%transit,population
Denver Regional Transportation District,Active,"Denver--Aurora, CO",LR,DO,2002,10429571,2976410,Independent Public Agency or Authority of Transit Service,Denver,CO,644.54,2686147,3098079,2342,6.34760577371531,11981942.0,161388757.0,12.6675213522257,0.940471374509256,279,7.3,1.7,232676,2264,8,42,0.062,710800
San Francisco Bay Area Rapid Transit District,Active,"San Francisco--Oakland, CA",HR,DO,2002,95161017,58252346,Independent Public Agency or Authority of Transit Service,Oakland,CA,513.8,3515933,867725,80,13.6762402840493,181243024.0,754188006.0,15.3779959277636,3.69556988818987,148,7.9,3.4,349171,4379,15,41,0.208,437832
Santa Clara Valley Transportation Authority,Active,"San Jose, CA",LR,DO,2002,6890633,1764608,Independent Public Agency or Authority of Transit Service,San Jose,CA,285.48,1837446,1894783,346,5.35019469324392,4617615.0,122428199.0,29.5163682881098,1.1132666008809,348,7.0,1.5,150209,2424,6,33,0.037,982926
City and County of San Francisco,Active,"San Francisco--Oakland, CA",CC,DO,2002,8822100,476834,"City, County or Local Government Unit or Department of Transportation",San Francisco,CA,513.8,3515933,831703,49,1.32572787583782,18813552.0,74057382.0,25.3058289865522,6.42869781086248,3,9.3,7.4,596446,9616,20,35,0.312,851036
City and County of San Francisco,Active,"San Francisco--Oakland, CA",LR,DO,2002,44250530,5812456,"City, County or Local Government Unit or Department of Transportation",San Francisco,CA,513.8,3515933,831703,49,2.42455055149388,11056697.0,215714649.0,9.26557178268749,0.474917304911107,3,9.3,7.4,596446,9616,20,35,0.312,851036
Sacramento Regional Transit District,Active,"Sacramento, CA",LR,DO,2002,8906500,2113523,Independent Public Agency or Authority of Transit Service,Sacramento,CA,467.58,1946618,1360100,291,5.70958667430939,6792973.0,83048077.0,13.5237190844369,1.10618164704963,643,6.0,1.7,131535,1135,9,26,0.027,516615
North County Transit District,Inactive,"San Diego, CA",CR,PT,2002,1281144,236604,Independent Public Agency or Authority of Transit Service,Oceanside,CA,674.72,3070300,1043734,340,26.4501051988362,2392723.0,33213554.0,57.6572149736482,4.15365800309694,567,6.2,0.9,39508,992,5,24,0.024,173925
Peninsula Corridor Joint Powers Board,Active,"San Francisco--Oakland, CA",CR,PT,2002,8978675,4955389,Independent Public Agency or Authority of Transit Service,San Carlos,CA,513.8,3515933,3632769,425,19.011853625924,43330092.0,172893335.0,24.6563712009328,6.1793176268048,670,5.9,1.2,144392,837,5,28,0.051,28846
Southern California Regional Rail Authority,Inactive,"Los Angeles--Long Beach--Anaheim, CA",CR,DO,2002,8739364,7844414,Independent Public Agency or Authority of Transit Service,Los Angeles,CA,1636.83,12237376,8341002,2291,37.1217492918661,35802747.0,75286962.0,10.1767123796882,4.83953992753413,195,7.7,2.3,424333,4140,10,52,0.085,3880512
Los Angeles County Metropolitan Transportation Authority,Active,"Los Angeles--Long Beach--Anaheim, CA",HR,DO,2002,36162726,6118641,Independent Public Agency or Authority of Transit Service,Los Angeles,CA,1636.83,12237376,10347626,4629,4.97752212860611,11040864.0,192351180.0,7.16259817326008,0.411129644838223,195,7.7,2.3,424333,4140,10,52,0.085,3880512
Los Angeles County Metropolitan Transportation Authority,Active,"Los Angeles--Long Beach--Anaheim, CA",LR,DO,2002,31425761,6699969,Independent Public Agency or Authority of Transit Service,Los Angeles,CA,1636.83,12237376,10347626,4629,6.57141451138444,13161651.0,497457985.0,13.5962145433731,0.35972611986719,195,7.7,2.3,424333,4140,10,52,0.085,3880512
King County,Inactive,"Seattle--Tacoma, WA",LR,DO,2003,403590,43005,"City, County or Local Government Unit or Department of Transportation",Seattle,WA,982.52,3544011,2347800,2134,0.90527380680433,288470.0,2281393.0,4.37943651102925,0.553756433168949,95,8.3,4.9,403896,4783,19,38,0.214,734731
Tri-County Metropolitan Transportation District of Oregon,Active,"Portland, OR--WA",LR,DO,2003,26427700,3260179,Independent Public Agency or Authority of Transit Service,Portland,OR,519.3,2104238,1512100,376,5.17189963054286,19592787.0,210004456.0,9.62637821026598,0.898112266032977,127,8.1,2.6,218492,3517,10,44,0.109,641885
City of Seattle,Active,"Seattle--Tacoma, WA",MG,PT,2003,2102433,245303,"City, County or Local Government Unit or Department of Transportation",Seattle,WA,982.52,3544011,753655,83,0.899999859483264,6214624.0,6327832.0,2.96388766717393,2.91086227158419,95,8.3,4.9,403896,4783,19,38,0.214,734731
Central Puget Sound Regional Transit Authority,Active,"Seattle--Tacoma, WA",CR,PT,2003,751163,382300,Independent Public Agency or Authority of Transit Service,Seattle,WA,982.52,3544011,3349000,1089,24.736999153069,5005338.0,76112396.0,43.350336123972,2.85082451896653,95,8.3,4.9,403896,4783,19,38,0.214,734731
Central Puget Sound Regional Transit Authority,Active,"Seattle--Tacoma, WA",LR,DO,2003,266793,34387,Independent Public Agency or Authority of Transit Service,Seattle,WA,982.52,3544011,3349000,1089,6.89964679217103,32701665.0,238812404.0,8.88844042063662,1.21713443748976,95,8.3,4.9,403896,4783,19,38,0.214,734731
Massachusetts Bay Transportation Authority,Inactive,"Boston, MA--NH",CR,DO,2003,40363600,22776778,Independent Public Agency or Authority of Transit Service,Boston,MA,1655.89,4382009,3109308,3244,20.3731414223235,123020901.0,227513879.0,5.86136718212808,3.16934806354045,13,9.1,7.1,732061,5983,14,68,0.306,665942
Massachusetts Bay Transportation Authority,Active,"Boston, MA--NH",HR,DO,2003,123939500,19502272,Independent Public Agency or Authority of Transit Service,Boston,MA,1655.89,4382009,3109308,3244,3.27426719680125,128794748.0,377944589.0,4.49772143324364,1.53271912187322,13,9.1,7.1,732061,5983,14,68,0.306,665942
Massachusetts Bay Transportation Authority,Active,"Boston, MA--NH",LR,DO,2003,63969600,5782153,Independent Public Agency or Authority of Transit Service,Boston,MA,1655.89,4382009,3109308,3244,2.32944391603797,47726099.0,197051081.0,5.32054511351991,1.28864486067863,13,9.1,7.1,732061,5983,14,68,0.306,665942
Connecticut Department of Transportation,Active,"Hartford, CT",CR,PT,2003,385089,589569,State Government Unit or Department of Transportation,Newington,CT,535.93,977158,448608,171,30.1349682189064,1261149.0,26905800.0,134.766863514102,6.3168943184721,629,6.0,1.1,0,2451,6,35,0.013,30458
Niagara Frontier Transportation Authority,Active,"Buffalo, NY",LR,DO,2003,5556090,756227,Independent Public Agency or Authority of Transit Service,Buffalo,NY,340.5,948864,809275,336,2.63229320215109,3225831.0,29843884.0,12.0426570940541,1.30169305631832,286,7.3,2.2,132530,1661,8,39,0.092,276688
Port Authority Transit Corporation,Active,"Philadelphia, PA--NJ--DE--MD",HR,DO,2003,8863911,4146180,Independent Public Agency or Authority of Transit Service,Camden,NJ,1898.19,5696125,159726,16,8.62154375756491,12879663.0,59090442.0,10.8383393711976,2.36238135738868,168,7.9,2.6,375747,2469,1,54,0.122,71799
