Agency,Mode,Year,UPT,VRM,city,state,Service Area SQ Miles,Avg Cost Per Trip FY,Avg Fares Per Trip FY,tci,jobs,trips/week,routes,%transit,population
Maryland Transit Administration,HR,2003,14376851,4657964,Baltimore,MD,2560.0,41.2149052300701,0.714463055814179,3.5,255135,3787,12,0.148,584548
Maryland Transit Administration,LR,2003,8808844,2639445,Baltimore,MD,2560.0,11.3566060069565,0.714542460583807,3.5,255135,3787,12,0.148,584548
Pennsylvania Department of Transportation,CR,2003,228435,763997,Harrisburg,PA,2092.0,53.4360662477464,40.8174151158317,3.3,81287,1328,15,0.061,50055
Virginia Railway Express,CR,2003,3362983,1736642,Woodbridge,VA,730.0,62.3666755328218,9.50731594202898,0.7,19953,518,5,0.031,42663
Chattanooga Area Regional Transportation Authority,IP,2003,386430,15866,Chattanooga,TN,289.0,5.01634335401539,6.50138316425865,0.5,29469,462,3,0.016,184149
City of Memphis,LR,2003,705931,283668,Memphis,TN,254.0,3.58503456731968,0.664690071767021,0.5,45900,501,3,0.01,627640
Metropolitan Atlanta Rapid Transit Authority,HR,2003,68613169,22422322,Atlanta,GA,605.0,8.25454242718684,1.43513316791868,1.9,257838,2523,10,0.096,494513
County of Miami-Dade,HR,2003,14272423,7057593,Miami,FL,306.0,10.1509192003321,1.07467174109841,2.7,293807,4935,11,0.084,441830
County of Miami-Dade,MG,2003,6810339,977225,Miami,FL,306.0,5.83092289121068,0.0,2.7,293807,4935,11,0.084,441830
Jacksonville Transportation Authority,MG,2003,89283,280874,Jacksonville,FL,1807.0,27.434022039947,0.0,0.4,38618,684,3,0.015,952608
Hillsborough Area Regional Transit Authority,LR,2003,459964,83872,Tampa,FL,418.0,5.06449331519108,1.13214625098863,0.7,146486,991,4,0.019,383344
South Florida Regional Transportation Authority,CR,2003,2755778,614040,Pompano Beach,FL,32.0,32.8519704906211,3.31489171141496,0.6,132676,973,3,0.02,110991
City of Kenosha,LR,2003,54594,19841,Kenosha,WI,27.0,5.35349089819462,0.5,1.3,23740,599,7,0.013,94295
The Greater Cleveland Regional Transit Authority,HR,2003,4587195,1692155,Cleveland,OH,458.0,11.4397876130865,1.1651248638527,1.4,153684,2368,6,0.083,370278
The Greater Cleveland Regional Transit Authority,LR,2003,2701249,824149,Cleveland,OH,458.0,19.6120843420987,1.57179665706609,1.4,153684,2368,6,0.083,370278
Chicago Transit Authority,HR,2003,178025823,64689214,Chicago,IL,283.0,6.17551691765334,1.31699996270663,3.9,545242,6082,11,0.251,2723878
Northern Indiana Commuter Transportation District,CR,2003,3568171,3067905,Chesterton,IN,1970.0,40.3285716344126,6.1896097550752,0.0,51,3,0,0.01,12198
Northeast Illinois Regional Commuter Railroad Corporation,CR,2003,69164745,29395383,Chicago,IL,3947.0,39.2077654519985,4.63013992990007,3.9,545242,6082,11,0.251,2723878
City of Detroit,LR,2003,15185,5255,Detroit,MI,206.0,29.4703003091418,0.5,1.1,108498,1558,6,0.069,637041
Detroit Transportation Corporation,MG,2003,157697,247180,Detroit,MI,3.0,25.3473784064604,0.372632575757576,1.1,108498,1558,6,0.069,637041
Fort Worth Transportation Authority,CR,2003,835424,161649,Fort Worth,TX,350.0,56.5743144305001,2.77862142457394,0.6,27240,1142,2,0.006,911428
New Orleans Regional Transit Authority,LR,2003,4897324,732771,New Orleans,LA,75.0,3.65882796474662,0.912318803412724,1.4,83640,1666,6,0.06,380408
Dallas Area Rapid Transit,CR,2003,1431293,929493,Dallas,TX,698.0,38.3109353462769,3.15041008208683,1.0,177968,2075,5,0.03,1330798
Dallas Area Rapid Transit,LR,2003,19539712,5542358,Dallas,TX,698.0,11.2416384603209,0.710960046230889,1.0,177968,2075,5,0.03,1330798
Bi-State Development Agency of the Missouri-Illinois Metropolitan District,LR,2003,14613085,5408164,Saint Louis,MO,558.0,14.8942873237702,1.13900328014932,1.5,163458,1809,6,0.071,298018
Utah Transit Authority,LR,2003,10085968,2281900,Salt Lake City,UT,607.0,8.90907591909617,0.93545532170743,1.6,195858,2682,8,0.065,204659
Denver Regional Transportation District,LR,2003,10635977,3608446,Denver,CO,2342.0,12.6675213522257,0.940471374509256,1.7,232676,2264,8,0.062,710800
San Francisco Bay Area Rapid Transit District,HR,2003,94914610,61451124,Oakland,CA,80.0,15.3779959277636,3.69556988818987,3.4,349171,4379,15,0.208,437832
Santa Clara Valley Transportation Authority,LR,2003,5466561,1428493,San Jose,CA,346.0,29.5163682881098,1.1132666008809,1.5,150209,2424,6,0.037,982926
City and County of San Francisco,CC,2003,8301930,476846,San Francisco,CA,49.0,25.3058289865522,6.42869781086248,7.4,596446,9616,20,0.312,851036
City and County of San Francisco,LR,2003,47420170,5752326,San Francisco,CA,49.0,9.26557178268749,0.474917304911107,7.4,596446,9616,20,0.312,851036
Sacramento Regional Transit District,LR,2003,9669600,2317677,Sacramento,CA,291.0,13.5237190844369,1.10618164704963,1.7,131535,1135,9,0.027,516615
North County Transit District,CR,2003,1365906,257145,Oceanside,CA,340.0,57.6572149736482,4.15365800309694,0.9,39508,992,5,0.024,173925
Peninsula Corridor Joint Powers Board,CR,2003,8104320,5016630,San Carlos,CA,425.0,24.6563712009328,6.1793176268048,1.2,144392,837,5,0.051,28846
Southern California Regional Rail Authority,CR,2003,9100904,8153421,Los Angeles,CA,2291.0,10.1767123796882,4.83953992753413,2.3,424333,4140,10,0.085,3880512
Los Angeles County Metropolitan Transportation Authority,HR,2003,29299986,5553173,Los Angeles,CA,4629.0,7.16259817326008,0.411129644838223,2.3,424333,4140,10,0.085,3880512
Los Angeles County Metropolitan Transportation Authority,LR,2003,30716781,6923528,Los Angeles,CA,4629.0,13.5962145433731,0.35972611986719,2.3,424333,4140,10,0.085,3880512
Altamont Corridor Express,CR,2003,606937,745352,Stockton,CA,28.0,76.1868564251061,8.07018364671716,1.3,40460,722,7,0.014,312413
King County,LR,2004,398109,44994,Seattle,WA,2134.0,4.37943651102925,0.553756433168949,4.9,403896,4783,19,0.214,734731
Tri-County Metropolitan Transportation District of Oregon,LR,2004,30235000,3705201,Portland,OR,376.0,9.62637821026598,0.898112266032977,2.6,218492,3517,10,0.109,641885
City of Seattle,MG,2004,764893,104703,Seattle,WA,83.0,2.96388766717393,2.91086227158419,4.9,403896,4783,19,0.214,734731
Central Puget Sound Regional Transit Authority,CR,2004,917195,436558,Seattle,WA,1089.0,43.350336123972,2.85082451896653,4.9,403896,4783,19,0.214,734731
Central Puget Sound Regional Transit Authority,LR,2004,794582,96420,Seattle,WA,1089.0,8.88844042063662,1.21713443748976,4.9,403896,4783,19,0.214,734731
Massachusetts Bay Transportation Authority,CR,2004,38569700,22523221,Boston,MA,3244.0,5.86136718212808,3.16934806354045,7.1,732061,5983,14,0.306,665942
Massachusetts Bay Transportation Authority,HR,2004,149467277,20062067,Boston,MA,3244.0,4.49772143324364,1.53271912187322,7.1,732061,5983,14,0.306,665942
Massachusetts Bay Transportation Authority,LR,2004,74881386,5708017,Boston,MA,3244.0,5.32054511351991,1.28864486067863,7.1,732061,5983,14,0.306,665942
Connecticut Department of Transportation,CR,2004,406436,568899,Newington,CT,171.0,134.766863514102,6.3168943184721,1.1,0,2451,6,0.013,30458
Niagara Frontier Transportation Authority,LR,2004,5464754,750769,Buffalo,NY,336.0,12.0426570940541,1.30169305631832,2.2,132530,1661,8,0.092,276688
Port Authority Transit Corporation,HR,2004,9150048,4054813,Camden,NJ,16.0,10.8383393711976,2.36238135738868,2.6,375747,2469,1,0.122,71799
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",CR,2004,70756615,49720551,New York,NY,527.0,24.2004341812688,8.41318942191887,8.7,1296548,13960,19,0.544,8621501
New Jersey Transit Corporation,CR,2004,67258893,56817477,Newark,NJ,5325.0,24.4614111990785,7.062002533205,4.8,282108,5486,2,0.212,307355
New Jersey Transit Corporation,CR,2004,1708210,1340170,Newark,NJ,5325.0,6.92825711886404,0.0,4.8,282108,5486,2,0.212,307355
New Jersey Transit Corporation,LR,2004,4942080,595658,Newark,NJ,5325.0,7.28412821419705,0.991414510289936,4.8,282108,5486,2,0.212,307355
New Jersey Transit Corporation,LR,2004,5328416,1194302,Newark,NJ,5325.0,8.43414812540122,0.53706361200171,4.8,282108,5486,2,0.212,307355
Port Authority Trans-Hudson Corporation,HR,2004,66126711,12619305,New York,NY,226.0,10.0211749072654,2.43312567162522,8.7,1296548,13960,19,0.544,8621501
Staten Island Rapid Transit Operating Authority,HR,2004,5976121,2176582,New York,NY,59.0,13.5547055701508,0.65299535151799,8.7,1296548,13960,19,0.544,8621501
MTA Long Island Rail Road,CR,2004,99139000,58269799,New York,NY,2967.0,25.4690847358046,6.7864969133796,8.7,1296548,13960,19,0.544,8621501
Cambria County Transit Authority,IP,2004,77595,1383,Johnstown,PA,688.0,30.9261625315703,0.0,3.0,13224,1171,8,0.057,18422
Southeastern Pennsylvania Transportation Authority,CR,2004,30733520,15670953,Philadelphia,PA,844.0,16.5626148935428,3.87438447317185,4.6,367544,5229,12,0.23,1593208
Southeastern Pennsylvania Transportation Authority,HR,2004,87180859,16060324,Philadelphia,PA,844.0,4.14658442381391,0.879975871572353,4.6,367544,5229,12,0.23,1593208
Southeastern Pennsylvania Transportation Authority,LR,2004,24916708,3352926,Philadelphia,PA,844.0,2.13287140384607,0.875877392755033,4.6,367544,5229,12,0.23,1593208
Pittsburgh Regional Transit,IP,2004,697944,0,Pittsburgh,PA,775.0,8.32243848918901,1.14990513484188,3.9,260426,4552,18,0.162,303843
Pittsburgh Regional Transit,IP,2004,341708,0,Pittsburgh,PA,775.0,0.268088367573201,1.86119018957914,3.9,260426,4552,18,0.162,303843
Pittsburgh Regional Transit,LR,2004,6876373,1383890,Pittsburgh,PA,775.0,24.1981513120049,0.924069629146431,3.9,260426,4552,18,0.162,303843
Washington Metropolitan Area Transit Authority,HR,2004,250791210,54415946,Washington,DC,1108.0,11.7044756343657,1.82543095920609,5.3,545507,7528,20,0.329,670587
Maryland Transit Administration,CR,2004,6409984,4891422,Baltimore,MD,2560.0,46.8836941196747,6.31799225132868,3.5,255135,3787,12,0.148,584548
Maryland Transit Administration,HR,2004,13332296,4613172,Baltimore,MD,2560.0,41.2149052300701,0.714463055814179,3.5,255135,3787,12,0.148,584548
Maryland Transit Administration,LR,2004,7283806,2815286,Baltimore,MD,2560.0,11.3566060069565,0.714542460583807,3.5,255135,3787,12,0.148,584548
Pennsylvania Department of Transportation,CR,2004,243629,766509,Harrisburg,PA,2092.0,53.4360662477464,40.8174151158317,3.3,81287,1328,15,0.061,50055
Virginia Railway Express,CR,2004,3706134,1761989,Woodbridge,VA,730.0,62.3666755328218,9.50731594202898,0.7,19953,518,5,0.031,42663
Chattanooga Area Regional Transportation Authority,IP,2004,434119,19302,Chattanooga,TN,289.0,5.01634335401539,6.50138316425865,0.5,29469,462,3,0.016,184149
City of Memphis,LR,2004,1159324,375323,Memphis,TN,254.0,3.58503456731968,0.664690071767021,0.5,45900,501,3,0.01,627640
Metropolitan Atlanta Rapid Transit Authority,HR,2004,70165559,22387469,Atlanta,GA,605.0,8.25454242718684,1.43513316791868,1.9,257838,2523,10,0.096,494513
County of Miami-Dade,HR,2004,16309835,9428403,Miami,FL,306.0,10.1509192003321,1.07467174109841,2.7,293807,4935,11,0.084,441830
County of Miami-Dade,MG,2004,8832907,974639,Miami,FL,306.0,5.83092289121068,0.0,2.7,293807,4935,11,0.084,441830
Jacksonville Transportation Authority,MG,2004,86330,265630,Jacksonville,FL,1807.0,27.434022039947,0.0,0.4,38618,684,3,0.015,952608
Hillsborough Area Regional Transit Authority,LR,2004,419593,85889,Tampa,FL,418.0,5.06449331519108,1.13214625098863,0.7,146486,991,4,0.019,383344
South Florida Regional Transportation Authority,CR,2004,2815496,623144,Pompano Beach,FL,32.0,32.8519704906211,3.31489171141496,0.6,132676,973,3,0.02,110991
City of Kenosha,LR,2004,58985,19604,Kenosha,WI,27.0,5.35349089819462,0.5,1.3,23740,599,7,0.013,94295
The Greater Cleveland Regional Transit Authority,HR,2004,5044935,1590113,Cleveland,OH,458.0,11.4397876130865,1.1651248638527,1.4,153684,2368,6,0.083,370278
The Greater Cleveland Regional Transit Authority,LR,2004,2734774,858089,Cleveland,OH,458.0,19.6120843420987,1.57179665706609,1.4,153684,2368,6,0.083,370278
Metro Transit,LR,2004,2938807,505733,Minneapolis,MN,465.0,6.36891965806475,0.888992689225925,2.9,329428,4192,12,0.11,426877
Chicago Transit Authority,HR,2004,178716455,64080296,Chicago,IL,283.0,6.17551691765334,1.31699996270663,3.9,545242,6082,11,0.251,2723878
Northern Indiana Commuter Transportation District,CR,2004,3544188,3135484,Chesterton,IN,1970.0,40.3285716344126,6.1896097550752,0.0,51,3,0,0.01,12198
Northeast Illinois Regional Commuter Railroad Corporation,CR,2004,67515557,29567422,Chicago,IL,3947.0,39.2077654519985,4.63013992990007,3.9,545242,6082,11,0.251,2723878
Detroit Transportation Corporation,MG,2004,950647,278166,Detroit,MI,3.0,25.3473784064604,0.372632575757576,1.1,108498,1558,6,0.069,637041
Fort Worth Transportation Authority,CR,2004,816542,351388,Fort Worth,TX,350.0,56.5743144305001,2.77862142457394,0.6,27240,1142,2,0.006,911428
"Metropolitan Transit Authority of Harris County, Texas",LR,2004,7695887,676374,Houston,TX,1309.0,8.5330203699075,0.185331199997191,0.8,184921,1837,4,0.036,2482229
